,customer_unique_id,Number of Reviews,Average Review Ratings,satprediction
123,C00126,1,4.0, Satisfied
124,C00127,1,5.0, Satisfied
125,C00128,1,5.0, Satisfied
126,C00129,1,5.0, Satisfied
127,C00130,1,5.0, Satisfied
128,C00131,1,5.0, Satisfied
129,C00132,1,1.0,Unsatisfied
130,C00133,1,4.0, Satisfied
131,C00134,1,1.0,Unsatisfied
132,C00135,1,4.0, Satisfied
133,C00136,5,5.0, Satisfied
134,C00137,5,5.0, Satisfied
135,C00138,1,5.0, Satisfied
136,C00139,1,5.0, Satisfied
137,C00140,1,5.0, Satisfied
138,C00141,2,5.0, Satisfied
139,C00142,1,5.0, Satisfied
140,C00143,3,1.0,Unsatisfied
141,C00144,1,5.0, Satisfied
142,C00145,1,5.0, Satisfied
143,C00146,2,5.0, Satisfied
144,C00147,1,4.0, Satisfied
145,C00148,1,5.0, Satisfied
146,C00149,1,5.0, Satisfied
147,C00150,3,3.0,Unsatisfied
148,C00151,1,1.0,Unsatisfied
149,C00152,1,5.0, Satisfied
150,C00153,1,5.0, Satisfied
151,C00154,2,4.5, Satisfied
152,C00155,2,5.0, Satisfied
153,C00156,1,5.0, Satisfied
154,C00157,2,5.0, Satisfied
155,C00158,2,1.0,Unsatisfied
156,C00159,1,5.0, Satisfied
157,C00160,1,3.0,Unsatisfied
158,C00161,1,5.0, Satisfied
159,C00162,1,5.0, Satisfied
160,C00163,1,4.0, Satisfied
161,C00164,1,1.0,Unsatisfied
162,C00165,1,3.0,Unsatisfied
163,C00166,1,5.0, Satisfied
164,C00167,1,5.0, Satisfied
165,C00168,1,5.0, Satisfied
166,C00169,1,5.0, Satisfied
167,C00170,1,5.0, Satisfied
168,C00171,1,5.0, Satisfied
169,C00172,1,5.0, Satisfied
170,C00173,2,1.0,Unsatisfied
171,C00174,2,4.0, Satisfied
172,C00175,1,5.0, Satisfied
173,C00176,1,5.0, Satisfied
174,C00177,1,5.0, Satisfied
175,C00178,1,5.0, Satisfied
176,C00180,4,5.0, Satisfied
177,C00181,1,4.0, Satisfied
178,C00182,2,5.0, Satisfied
179,C00183,2,5.0, Satisfied
180,C00184,1,5.0, Satisfied
181,C00186,2,3.0,Unsatisfied
182,C00188,1,4.0, Satisfied
183,C00190,1,5.0, Satisfied
184,C00191,1,3.0,Unsatisfied
185,C00192,1,5.0, Satisfied
186,C00193,1,3.0,Unsatisfied
187,C00194,1,5.0, Satisfied
188,C00195,1,4.0, Satisfied
189,C00196,1,4.0, Satisfied
190,C00197,1,3.0,Unsatisfied
191,C00198,1,4.0, Satisfied
192,C00199,1,5.0, Satisfied
193,C00200,1,4.0, Satisfied
194,C00201,2,5.0, Satisfied
195,C00202,2,1.0,Unsatisfied
196,C00203,1,5.0, Satisfied
197,C00204,1,5.0, Satisfied
198,C00205,1,4.0, Satisfied
199,C00206,1,5.0, Satisfied
200,C00207,1,5.0, Satisfied
201,C00208,1,4.0, Satisfied
202,C00209,1,5.0, Satisfied
203,C00210,2,5.0, Satisfied
204,C00211,1,4.0, Satisfied
205,C00213,1,5.0, Satisfied
206,C00214,1,1.0,Unsatisfied
207,C00215,1,4.0, Satisfied
208,C00216,1,4.0, Satisfied
209,C00217,1,5.0, Satisfied
210,C00218,2,5.0, Satisfied
211,C00219,1,5.0, Satisfied
212,C00220,2,1.0,Unsatisfied
213,C00221,1,4.0, Satisfied
214,C00222,1,4.0, Satisfied
215,C00223,1,5.0, Satisfied
216,C00224,1,5.0, Satisfied
217,C00225,1,5.0, Satisfied
218,C00226,1,2.0,Unsatisfied
219,C00227,1,5.0, Satisfied
220,C00228,1,5.0, Satisfied
221,C00229,1,1.0,Unsatisfied
222,C00230,1,4.0, Satisfied
223,C00231,1,3.0,Unsatisfied
224,C00232,1,5.0, Satisfied
225,C00233,1,1.0,Unsatisfied
226,C00234,1,5.0, Satisfied
227,C00235,1,5.0, Satisfied
228,C00236,1,4.0, Satisfied
229,C00237,1,4.0, Satisfied
230,C00238,1,1.0,Unsatisfied
231,C00239,3,5.0, Satisfied
232,C00240,1,3.0,Unsatisfied
233,C00241,1,3.0,Unsatisfied
234,C00242,1,5.0, Satisfied
235,C00243,1,5.0, Satisfied
236,C00244,1,4.0, Satisfied
237,C00246,1,5.0, Satisfied
238,C00247,1,4.0, Satisfied
239,C00248,2,5.0, Satisfied
240,C00249,1,5.0, Satisfied
241,C00250,1,5.0, Satisfied
242,C00251,2,1.0,Unsatisfied
243,C00252,1,4.0, Satisfied
244,C00253,1,4.0, Satisfied
245,C00254,1,5.0, Satisfied
246,C00255,1,5.0, Satisfied
247,C00256,1,5.0, Satisfied
248,C00257,1,2.0,Unsatisfied
249,C00258,1,4.0, Satisfied
250,C00259,1,5.0, Satisfied
251,C00260,1,5.0, Satisfied
252,C00261,1,2.0,Unsatisfied
253,C00262,1,5.0, Satisfied
254,C00263,2,4.0, Satisfied
255,C00264,1,4.0, Satisfied
256,C00265,3,3.0,Unsatisfied
257,C00266,1,5.0, Satisfied
258,C00267,2,3.0,Unsatisfied
259,C00268,1,5.0, Satisfied
260,C00269,2,5.0, Satisfied
261,C00270,1,5.0, Satisfied
262,C00271,1,5.0, Satisfied
263,C00272,3,3.0,Unsatisfied
264,C00273,1,5.0, Satisfied
265,C00274,2,3.0,Unsatisfied
266,C00275,1,5.0, Satisfied
267,C00276,1,5.0, Satisfied
268,C00277,4,5.0, Satisfied
269,C00278,1,4.0, Satisfied
270,C00279,1,5.0, Satisfied
271,C00280,1,1.0,Unsatisfied
272,C00281,1,5.0, Satisfied
273,C00282,1,5.0, Satisfied
274,C00283,1,1.0,Unsatisfied
275,C00284,1,4.0, Satisfied
276,C00285,2,5.0, Satisfied
277,C00286,1,5.0, Satisfied
278,C00287,1,5.0, Satisfied
279,C00288,1,1.0,Unsatisfied
280,C00289,2,1.0,Unsatisfied
281,C00290,1,3.0,Unsatisfied
282,C00291,1,5.0, Satisfied
283,C00292,2,3.0,Unsatisfied
284,C00293,1,4.0, Satisfied
285,C00295,1,5.0, Satisfied
286,C00296,1,4.0, Satisfied
287,C00297,1,5.0, Satisfied
288,C00298,1,4.0, Satisfied
289,C00299,1,3.0,Unsatisfied
290,C00300,1,5.0, Satisfied
291,C00301,1,3.0,Unsatisfied
292,C00302,1,5.0, Satisfied
293,C00303,1,5.0, Satisfied
294,C00304,1,3.0,Unsatisfied
295,C00305,1,5.0, Satisfied
296,C00306,1,1.0,Unsatisfied
297,C00307,1,5.0, Satisfied
298,C00308,1,5.0, Satisfied
299,C00309,1,5.0, Satisfied
300,C00310,2,4.0, Satisfied
301,C00311,1,5.0, Satisfied
302,C00312,1,4.0, Satisfied
303,C00313,2,4.0, Satisfied
304,C00314,1,5.0, Satisfied
305,C00315,1,5.0, Satisfied
306,C00316,1,5.0, Satisfied
307,C00317,1,5.0, Satisfied
308,C00318,1,5.0, Satisfied
309,C00319,1,4.0, Satisfied
310,C00320,1,5.0, Satisfied
311,C00321,1,1.0,Unsatisfied
312,C00322,2,1.0,Unsatisfied
313,C00323,1,5.0, Satisfied
314,C00324,1,5.0, Satisfied
315,C00325,1,5.0, Satisfied
316,C00326,1,3.0,Unsatisfied
317,C00327,1,5.0, Satisfied
318,C00328,2,5.0, Satisfied
319,C00329,1,5.0, Satisfied
320,C00330,1,5.0, Satisfied
321,C00331,1,5.0, Satisfied
322,C00332,1,5.0, Satisfied
323,C00333,1,5.0, Satisfied
324,C00334,1,5.0, Satisfied
325,C00335,2,2.0,Unsatisfied
326,C00336,1,5.0, Satisfied
327,C00337,2,1.0,Unsatisfied
328,C00338,1,5.0, Satisfied
329,C00339,1,5.0, Satisfied
330,C00340,2,5.0, Satisfied
331,C00341,1,5.0, Satisfied
332,C00342,1,5.0, Satisfied
333,C00343,1,5.0, Satisfied
334,C00344,1,4.0, Satisfied
335,C00345,1,1.0,Unsatisfied
336,C00347,1,1.0,Unsatisfied
337,C00348,1,5.0, Satisfied
338,C00349,1,5.0, Satisfied
339,C00350,1,5.0, Satisfied
340,C00351,2,3.0,Unsatisfied
341,C00352,3,2.0,Unsatisfied
342,C00353,1,4.0, Satisfied
343,C00354,1,5.0, Satisfied
344,C00355,1,5.0, Satisfied
345,C00356,1,5.0, Satisfied
346,C00357,2,3.0,Unsatisfied
347,C00358,1,3.0,Unsatisfied
348,C00359,1,4.0, Satisfied
349,C00360,1,5.0, Satisfied
350,C00361,2,4.0, Satisfied
351,C00362,1,1.0,Unsatisfied
352,C00363,1,5.0, Satisfied
353,C00364,1,5.0, Satisfied
354,C00365,1,5.0, Satisfied
355,C00366,3,4.0, Satisfied
356,C00367,1,4.0, Satisfied
357,C00368,1,3.0,Unsatisfied
358,C00369,1,4.0, Satisfied
359,C00370,1,5.0, Satisfied
360,C00371,1,5.0, Satisfied
361,C00372,1,3.0,Unsatisfied
362,C00373,1,5.0, Satisfied
363,C00374,1,5.0, Satisfied
364,C00375,1,5.0, Satisfied
365,C00376,1,4.0, Satisfied
366,C00377,1,5.0, Satisfied
367,C00378,1,5.0, Satisfied
368,C00379,1,1.0,Unsatisfied
369,C00380,1,5.0, Satisfied
370,C00381,1,5.0, Satisfied
371,C00382,1,4.0, Satisfied
372,C00383,1,5.0, Satisfied
373,C00384,1,5.0, Satisfied
374,C00386,6,5.0, Satisfied
375,C00387,1,4.0, Satisfied
376,C00389,1,3.0,Unsatisfied
377,C00391,1,5.0, Satisfied
378,C00392,1,5.0, Satisfied
379,C00393,2,5.0, Satisfied
380,C00394,2,5.0, Satisfied
381,C00395,1,1.0,Unsatisfied
382,C00396,1,4.0, Satisfied
383,C00397,1,5.0, Satisfied
384,C00399,1,5.0, Satisfied
385,C00400,1,5.0, Satisfied
386,C00401,2,3.0,Unsatisfied
387,C00402,1,5.0, Satisfied
388,C00403,1,5.0, Satisfied
389,C00404,1,4.0, Satisfied
390,C00405,1,5.0, Satisfied
391,C00406,1,5.0, Satisfied
392,C00407,1,4.0, Satisfied
393,C00408,2,5.0, Satisfied
394,C00409,1,2.0,Unsatisfied
395,C00410,1,5.0, Satisfied
396,C00411,1,5.0, Satisfied
397,C00412,2,3.0,Unsatisfied
398,C00413,1,5.0, Satisfied
399,C00414,1,5.0, Satisfied
400,C00415,1,4.0, Satisfied
401,C00417,1,4.0, Satisfied
402,C00418,1,5.0, Satisfied
403,C00419,2,3.0,Unsatisfied
404,C00420,1,4.0, Satisfied
405,C00421,1,5.0, Satisfied
406,C00422,1,5.0, Satisfied
407,C00423,2,1.0,Unsatisfied
408,C00424,1,5.0, Satisfied
409,C00425,1,3.0,Unsatisfied
410,C00426,1,1.0,Unsatisfied
411,C00427,1,5.0, Satisfied
412,C00428,1,4.0, Satisfied
413,C00429,2,5.0, Satisfied
414,C00430,1,2.0,Unsatisfied
415,C00431,1,5.0, Satisfied
416,C00432,3,3.0,Unsatisfied
417,C00433,1,4.0, Satisfied
418,C00434,2,1.0,Unsatisfied
419,C00435,2,5.0, Satisfied
420,C00436,1,4.0, Satisfied
421,C00437,1,5.0, Satisfied
422,C00438,1,4.0, Satisfied
423,C00439,1,5.0, Satisfied
424,C00440,1,5.0, Satisfied
425,C00441,1,5.0, Satisfied
426,C00442,1,5.0, Satisfied
427,C00443,1,5.0, Satisfied
428,C00444,1,5.0, Satisfied
429,C00445,1,5.0, Satisfied
430,C00446,2,5.0, Satisfied
431,C00447,1,5.0, Satisfied
432,C00448,1,5.0, Satisfied
433,C00449,1,5.0, Satisfied
434,C00450,2,5.0, Satisfied
435,C00451,3,4.0, Satisfied
436,C00452,1,5.0, Satisfied
437,C00453,1,4.0, Satisfied
438,C00454,1,5.0, Satisfied
439,C00455,1,4.0, Satisfied
440,C00456,1,2.0,Unsatisfied
441,C00457,15,5.0, Satisfied
442,C00458,1,5.0, Satisfied
443,C00459,1,2.0,Unsatisfied
444,C00461,1,5.0, Satisfied
445,C00462,1,3.0,Unsatisfied
446,C00463,2,2.0,Unsatisfied
447,C00464,1,4.0, Satisfied
448,C00465,1,1.0,Unsatisfied
449,C00467,1,5.0, Satisfied
450,C00469,6,5.0, Satisfied
451,C00470,1,4.0, Satisfied
452,C00471,1,3.0,Unsatisfied
453,C00472,1,5.0, Satisfied
454,C00473,1,4.0, Satisfied
455,C00474,1,5.0, Satisfied
456,C00475,2,2.0,Unsatisfied
457,C00476,1,5.0, Satisfied
458,C00477,1,4.0, Satisfied
459,C00479,2,1.0,Unsatisfied
460,C00480,1,4.0, Satisfied
461,C00481,1,4.0, Satisfied
462,C00482,2,5.0, Satisfied
463,C00484,1,5.0, Satisfied
464,C00485,1,4.0, Satisfied
465,C00486,1,5.0, Satisfied
466,C00487,1,5.0, Satisfied
467,C00488,1,1.0,Unsatisfied
468,C00489,1,3.0,Unsatisfied
469,C00490,1,5.0, Satisfied
470,C00491,1,5.0, Satisfied
471,C00492,1,5.0, Satisfied
472,C00493,1,5.0, Satisfied
473,C00494,1,5.0, Satisfied
474,C00495,1,5.0, Satisfied
475,C00496,1,5.0, Satisfied
476,C00498,3,5.0, Satisfied
477,C00499,1,5.0, Satisfied
478,C00500,1,4.0, Satisfied
479,C00501,3,4.0, Satisfied
480,C00502,1,4.0, Satisfied
481,C00503,1,1.0,Unsatisfied
482,C00504,1,3.0,Unsatisfied
483,C00505,1,4.0, Satisfied
484,C00506,1,4.0, Satisfied
485,C00507,1,4.0, Satisfied
486,C00508,3,5.0, Satisfied
487,C00509,1,5.0, Satisfied
488,C00510,1,2.0,Unsatisfied
489,C00511,1,5.0, Satisfied
490,C00512,1,5.0, Satisfied
491,C00513,1,5.0, Satisfied
492,C00514,1,4.0, Satisfied
493,C00515,1,5.0, Satisfied
494,C00516,1,5.0, Satisfied
495,C00517,1,5.0, Satisfied
496,C00518,1,5.0, Satisfied
497,C00519,1,5.0, Satisfied
498,C00520,1,1.0,Unsatisfied
499,C00521,2,4.0, Satisfied
500,C00522,1,3.0,Unsatisfied
501,C00523,2,4.0, Satisfied
502,C00524,1,4.0, Satisfied
503,C00525,1,5.0, Satisfied
504,C00526,1,5.0, Satisfied
505,C00527,14,1.0,Unsatisfied
506,C00528,1,4.0, Satisfied
507,C00529,2,5.0, Satisfied
508,C00530,1,5.0, Satisfied
509,C00531,1,5.0, Satisfied
510,C00532,1,5.0, Satisfied
511,C00533,1,4.0, Satisfied
512,C00534,2,4.0, Satisfied
513,C00535,2,2.0,Unsatisfied
514,C00536,1,5.0, Satisfied
515,C00537,1,5.0, Satisfied
516,C00539,1,5.0, Satisfied
517,C00540,1,4.0, Satisfied
518,C00541,1,5.0, Satisfied
519,C00542,1,5.0, Satisfied
520,C00543,1,5.0, Satisfied
521,C00544,1,1.0,Unsatisfied
522,C00545,1,3.0,Unsatisfied
523,C00546,1,5.0, Satisfied
524,C00547,5,1.0,Unsatisfied
525,C00548,1,4.0, Satisfied
526,C00549,1,5.0, Satisfied
527,C00550,4,5.0, Satisfied
528,C00551,1,4.0, Satisfied
529,C00552,1,3.0,Unsatisfied
530,C00553,1,5.0, Satisfied
531,C00554,1,5.0, Satisfied
532,C00556,1,5.0, Satisfied
533,C00557,4,2.0,Unsatisfied
534,C00558,1,5.0, Satisfied
535,C00559,1,5.0, Satisfied
536,C00560,1,4.0, Satisfied
537,C00561,1,5.0, Satisfied
538,C00562,1,5.0, Satisfied
539,C00563,4,5.0, Satisfied
540,C00564,1,5.0, Satisfied
541,C00565,1,1.0,Unsatisfied
542,C00566,1,5.0, Satisfied
543,C00567,2,1.0,Unsatisfied
544,C00568,1,5.0, Satisfied
545,C00569,1,5.0, Satisfied
546,C00570,1,4.0, Satisfied
547,C00571,1,5.0, Satisfied
548,C00572,1,5.0, Satisfied
549,C00573,2,1.0,Unsatisfied
550,C00574,1,5.0, Satisfied
551,C00575,1,5.0, Satisfied
552,C00576,3,5.0, Satisfied
553,C00577,1,5.0, Satisfied
554,C00578,1,3.0,Unsatisfied
555,C00579,1,5.0, Satisfied
556,C00580,1,4.0, Satisfied
557,C00581,1,4.0, Satisfied
558,C00582,1,4.0, Satisfied
559,C00583,1,5.0, Satisfied
560,C00584,1,3.0,Unsatisfied
561,C00585,1,4.0, Satisfied
562,C00586,1,1.0,Unsatisfied
563,C00587,1,5.0, Satisfied
564,C00588,1,5.0, Satisfied
565,C00589,1,1.0,Unsatisfied
566,C00590,1,5.0, Satisfied
567,C00591,1,5.0, Satisfied
568,C00592,1,4.0, Satisfied
569,C00593,1,4.0, Satisfied
570,C00594,1,4.0, Satisfied
571,C00595,1,5.0, Satisfied
572,C00596,1,5.0, Satisfied
573,C00597,1,1.0,Unsatisfied
574,C00598,1,5.0, Satisfied
575,C00599,1,4.0, Satisfied
576,C00600,1,5.0, Satisfied
577,C00601,1,5.0, Satisfied
578,C00602,2,5.0, Satisfied
579,C00603,1,5.0, Satisfied
580,C00604,1,5.0, Satisfied
581,C00605,1,5.0, Satisfied
582,C00606,1,5.0, Satisfied
583,C00607,1,5.0, Satisfied
584,C00608,1,5.0, Satisfied
585,C00609,1,2.0,Unsatisfied
586,C00610,1,3.0,Unsatisfied
587,C00611,1,3.0,Unsatisfied
588,C00613,1,2.0,Unsatisfied
589,C00614,1,5.0, Satisfied
590,C00615,1,1.0,Unsatisfied
591,C00616,1,3.0,Unsatisfied
592,C00617,1,5.0, Satisfied
593,C00618,1,4.0, Satisfied
594,C00619,2,5.0, Satisfied
595,C00620,1,5.0, Satisfied
596,C00621,1,3.0,Unsatisfied
597,C00623,1,5.0, Satisfied
598,C00624,1,5.0, Satisfied
599,C00625,1,4.0, Satisfied
600,C00626,1,2.0,Unsatisfied
601,C00627,1,4.0, Satisfied
602,C00628,2,5.0, Satisfied
603,C00629,1,5.0, Satisfied
604,C00630,1,5.0, Satisfied
605,C00631,1,5.0, Satisfied
606,C00632,2,1.0,Unsatisfied
607,C00633,2,5.0, Satisfied
608,C00634,2,5.0, Satisfied
609,C00635,2,5.0, Satisfied
610,C00636,2,5.0, Satisfied
611,C00637,1,1.0,Unsatisfied
612,C00638,1,5.0, Satisfied
613,C00639,5,1.0,Unsatisfied
614,C00640,1,4.0, Satisfied
615,C00641,2,5.0, Satisfied
616,C00642,1,5.0, Satisfied
617,C00643,1,5.0, Satisfied
618,C00644,1,1.0,Unsatisfied
619,C00645,1,5.0, Satisfied
620,C00646,1,4.0, Satisfied
621,C00647,1,4.0, Satisfied
622,C00648,1,5.0, Satisfied
623,C00649,2,1.0,Unsatisfied
624,C00650,1,5.0, Satisfied
625,C00651,1,5.0, Satisfied
626,C00653,1,5.0, Satisfied
627,C00654,2,5.0, Satisfied
628,C00655,2,5.0, Satisfied
629,C00656,1,5.0, Satisfied
630,C00657,2,3.0,Unsatisfied
631,C00658,1,4.0, Satisfied
632,C00659,2,5.0, Satisfied
633,C00660,1,5.0, Satisfied
634,C00661,1,5.0, Satisfied
635,C00662,1,5.0, Satisfied
636,C00663,1,5.0, Satisfied
637,C00664,1,1.0,Unsatisfied
638,C00665,1,5.0, Satisfied
639,C00666,1,5.0, Satisfied
640,C00667,1,5.0, Satisfied
641,C00668,1,4.0, Satisfied
642,C00669,1,5.0, Satisfied
643,C00670,7,1.0,Unsatisfied
644,C00671,1,5.0, Satisfied
645,C00672,4,5.0, Satisfied
646,C00673,1,5.0, Satisfied
647,C00674,2,5.0, Satisfied
648,C00675,1,3.0,Unsatisfied
649,C00676,1,1.0,Unsatisfied
650,C00677,1,4.0, Satisfied
651,C00678,1,5.0, Satisfied
652,C00679,1,5.0, Satisfied
653,C00680,1,5.0, Satisfied
654,C00682,2,5.0, Satisfied
655,C00683,1,5.0, Satisfied
656,C00684,1,5.0, Satisfied
657,C00685,1,2.0,Unsatisfied
658,C00686,2,1.0,Unsatisfied
659,C00687,1,5.0, Satisfied
660,C00688,1,5.0, Satisfied
661,C00689,2,1.0,Unsatisfied
662,C00690,1,4.0, Satisfied
663,C00691,1,1.0,Unsatisfied
664,C00692,2,1.0,Unsatisfied
665,C00693,1,1.0,Unsatisfied
666,C00694,1,5.0, Satisfied
667,C00695,1,3.0,Unsatisfied
668,C00696,1,5.0, Satisfied
669,C00697,1,5.0, Satisfied
670,C00698,1,1.0,Unsatisfied
671,C00699,1,5.0, Satisfied
672,C00700,1,5.0, Satisfied
673,C00701,1,5.0, Satisfied
674,C00702,1,4.0, Satisfied
675,C00703,1,1.0,Unsatisfied
676,C00704,2,2.0,Unsatisfied
677,C00705,1,1.0,Unsatisfied
678,C00706,1,5.0, Satisfied
679,C00707,1,5.0, Satisfied
680,C00708,1,5.0, Satisfied
681,C00709,1,5.0, Satisfied
682,C00710,1,5.0, Satisfied
683,C00711,1,5.0, Satisfied
684,C00712,1,1.0,Unsatisfied
685,C00713,1,4.0, Satisfied
686,C00715,1,5.0, Satisfied
687,C00716,1,3.0,Unsatisfied
688,C00717,2,4.0, Satisfied
689,C00718,1,5.0, Satisfied
690,C00719,1,5.0, Satisfied
691,C00720,1,5.0, Satisfied
692,C00721,1,1.0,Unsatisfied
693,C00722,1,4.0, Satisfied
694,C00723,1,5.0, Satisfied
695,C00724,1,5.0, Satisfied
696,C00725,1,5.0, Satisfied
697,C00726,1,4.0, Satisfied
698,C00727,1,3.0,Unsatisfied
699,C00728,1,5.0, Satisfied
700,C00729,1,5.0, Satisfied
701,C00730,1,5.0, Satisfied
702,C00731,1,5.0, Satisfied
703,C00732,1,5.0, Satisfied
704,C00733,1,5.0, Satisfied
705,C00734,3,5.0, Satisfied
706,C00735,2,3.0,Unsatisfied
707,C00736,1,4.0, Satisfied
708,C00737,1,5.0, Satisfied
709,C00738,1,5.0, Satisfied
710,C00739,2,3.0,Unsatisfied
711,C00740,1,5.0, Satisfied
712,C00741,1,5.0, Satisfied
713,C00742,12,5.0, Satisfied
714,C00743,1,4.0, Satisfied
715,C00744,1,1.0,Unsatisfied
716,C00745,1,5.0, Satisfied
717,C00746,1,5.0, Satisfied
718,C00747,1,3.0,Unsatisfied
719,C00748,1,4.0, Satisfied
720,C00749,1,5.0, Satisfied
721,C00750,1,4.0, Satisfied
722,C00751,1,5.0, Satisfied
723,C00752,1,5.0, Satisfied
724,C00753,1,5.0, Satisfied
725,C00754,1,5.0, Satisfied
726,C00755,11,3.0,Unsatisfied
727,C00756,1,5.0, Satisfied
728,C00757,1,4.0, Satisfied
729,C00758,1,5.0, Satisfied
730,C00759,1,5.0, Satisfied
731,C00760,1,5.0, Satisfied
732,C00761,1,5.0, Satisfied
733,C00762,1,3.0,Unsatisfied
734,C00763,1,5.0, Satisfied
735,C00764,1,5.0, Satisfied
736,C00765,1,5.0, Satisfied
737,C00766,1,5.0, Satisfied
738,C00767,4,4.5, Satisfied
739,C00768,1,5.0, Satisfied
740,C00769,1,3.0,Unsatisfied
741,C00770,1,1.0,Unsatisfied
742,C00771,1,5.0, Satisfied
743,C00772,1,5.0, Satisfied
744,C00773,1,5.0, Satisfied
745,C00774,1,5.0, Satisfied
746,C00775,1,5.0, Satisfied
747,C00776,1,5.0, Satisfied
748,C00777,1,4.0, Satisfied
749,C00778,1,5.0, Satisfied
750,C00779,1,1.0,Unsatisfied
751,C00780,1,4.0, Satisfied
752,C00781,1,3.0,Unsatisfied
753,C00782,1,5.0, Satisfied
754,C00783,1,5.0, Satisfied
